crime_id,date,year,area,latitude,longitude,crime_type,crime_category,gender_victim,age_victim,no_of_cctv,response_time_min,crime_reported,weather_condition,day_of_week,is_festival_day,crime_outcome,crime_date_parsed
ca383838-3b63-4f87-87c7-76fc1607dccd,2010-02-12,2010,Mohkampur,30.279855,77.906888,Fraud,Violent,Unknown,68,6,29.85,1,Clear,Friday,0,Under Investigation,2010-02-12
bb556266-c8be-4aff-a40f-1c45dca30ef3,2010-02-13,2010,Gulab Bagh,30.337038,77.968936,Harassment,Non-Violent,Female,31,0,52.88,1,Stormy,Saturday,0,Unsolved,2010-02-13
f2a86307-83de-4c58-b20a-340c865127a1,2010-02-13,2010,Shivaji Colony,30.396971,77.922452,Attempt to Murder,White-Collar,Other,60,5,41.04,1,Clear,Saturday,0,Solved,2010-02-13
6e7d228e-eb63-415c-89c6-ef44cc432022,2010-02-14,2010,Subhash Road,30.392103,78.159181,Cyber Crime,Property,Female,27,3,34.57,0,Clear,Sunday,0,Unsolved,2010-02-14
7c46b74e-b6c0-46a0-a1cb-65f358bb7e8f,2010-02-15,2010,Majra,30.333214,78.020576,Illegal Possession,Property,Unknown,65,5,30.37,1,Foggy,Monday,0,Under Investigation,2010-02-15
91930061-5467-414c-be5c-0ce32445adfd,2010-02-15,2010,Gulab Bagh,30.269325,78.002079,Harassment,Violent,Female,16,10,20.37,0,Rainy,Monday,0,Solved,2010-02-15
7958a732-d672-42cb-b927-58e453de9aee,2010-02-15,2010,Subhash Road,30.285015,78.087014,Cyber Crime,Violent,Male,48,10,33.24,0,Cloudy,Monday,0,Under Investigation,2010-02-15
2d14e9da-8ff6-4d6e-bc2c-fc506fb2e4d8,2010-02-15,2010,Subhash Road,30.397639,77.911272,Harassment,Violent,Other,71,3,5.25,1,Rainy,Monday,0,Unsolved,2010-02-15
d2cdd418-8e76-4c82-829e-af2674ca0273,2010-02-15,2010,Subhash Road,30.406198,78.013298,Smuggling,Violent,Female,41,1,19.66,0,Rainy,Monday,0,Unsolved,2010-02-15
8aeac898-923b-4c52-848a-0981b7b8c520,2010-02-15,2010,Subhash Road,30.441371,77.95322,Drug Possession,Non-Violent,Female,46,10,7.35,0,Cloudy,Monday,0,Unsolved,2010-02-15
cf8e7445-4c76-414d-87c6-f94d5bad2569,2010-02-15,2010,Saharanpur Road,30.397018,78.015142,Attempt to Murder,Non-Violent,Unknown,41,2,6.7,1,Cloudy,Monday,0,Unsolved,2010-02-15
dfeed98a-d18d-4211-9278-309b99ed6a3b,2010-02-16,2010,Mohanpur,30.355838,77.943576,Harassment,Violent,Other,74,5,34.57,1,Foggy,Tuesday,0,Solved,2010-02-16
934fa9b2-99ed-4161-946f-d325f2a1c833,2010-02-16,2010,Mohanpur,30.427055,77.912671,Harassment,White-Collar,Other,12,2,59.3,0,Cloudy,Tuesday,0,Under Investigation,2010-02-16
2c27e742-8636-48fe-8860-e968d34ad3af,2010-02-16,2010,Malsi,30.302913,78.128047,Kidnapping,Property,Male,70,9,26.51,0,Stormy,Tuesday,0,Under Investigation,2010-02-16
f9d35bb3-00c0-4ae6-9117-3306cbdc7d1d,2010-02-19,2010,Mohanpur,30.274751,78.100728,Assault,Property,Female,66,9,19.32,1,Cloudy,Friday,0,Under Investigation,2010-02-19
97555c79-0676-491a-a278-81e422ad184e,2010-02-19,2010,Mohanpur,30.397989,78.171603,Harassment,Property,Female,21,5,26.83,0,Stormy,Friday,0,Unsolved,2010-02-19
c6efdfa8-8c07-45ed-bd94-97a5202d3f33,2010-02-19,2010,Gulab Bagh,30.423956,78.186875,Burglary,Property,Male,17,7,58.1,0,Rainy,Friday,0,Under Investigation,2010-02-19
77c04bd1-e28d-4309-9f09-49cf56de0a83,2010-02-19,2010,Kudkan,30.340744,78.118009,Domestic Violence,Violent,Other,70,8,32.55,1,Rainy,Friday,0,Unsolved,2010-02-19
a66dfb65-4d0d-4299-8821-d9838d0e909d,2010-02-19,2010,Rajpur Road,30.317087,78.113105,Attempt to Murder,Non-Violent,Other,65,9,50.71,1,Stormy,Friday,0,Solved,2010-02-19
b4314fe6-7df4-4731-8e9a-b0a32cf61280,2010-02-20,2010,Majra,30.358076,77.920119,Pickpocketing,White-Collar,Female,61,6,18.28,1,Rainy,Saturday,0,Unsolved,2010-02-20
70ec5c95-f569-4bdf-af74-b298d7f65a17,2010-02-20,2010,Industrial Area,30.290787,77.945076,Robbery,Non-Violent,Unknown,64,0,54.2,0,Cloudy,Saturday,0,Unsolved,2010-02-20
ffc11b88-39f0-45a8-8617-9bf147ed0e88,2010-02-21,2010,Majra,30.301863,77.93526,Domestic Violence,Non-Violent,Female,30,10,33.37,1,Stormy,Sunday,0,Under Investigation,2010-02-21
36731ac7-be57-4d42-b979-32c31afa39c8,2010-02-22,2010,Gulab Bagh,30.407156,77.990624,Pickpocketing,Violent,Other,13,9,36.14,0,Stormy,Monday,0,Under Investigation,2010-02-22
e4f51bbb-9e24-475b-9b19-d247524d904d,2010-02-23,2010,Majra,30.40158,77.951538,Assault,Violent,Other,19,9,55.7,1,Foggy,Tuesday,0,Under Investigation,2010-02-23
922cf80e-8fd4-46cb-a00a-a96e1d35713b,2010-02-23,2010,Majra,30.314602,78.125063,Fraud,White-Collar,Female,55,8,25.95,1,Cloudy,Tuesday,0,Solved,2010-02-23
f32745ad-f3e2-48f3-9ded-53efa283737e,2010-02-23,2010,Industrial Area,30.295555,78.079108,Assault,Violent,Unknown,52,3,55.76,1,Foggy,Tuesday,0,Unsolved,2010-02-23
26e32152-09c5-4e74-9160-64de3e93f4c7,2010-02-24,2010,Majra,30.413471,78.116055,Assault,Property,Unknown,63,4,32.74,1,Foggy,Wednesday,0,Solved,2010-02-24
0a9ae4c6-5d53-411f-9c5d-70ec1c457594,2010-02-24,2010,Majra,30.262323,78.148483,Drug Trafficking,Property,Other,49,7,24.46,1,Clear,Wednesday,0,Under Investigation,2010-02-24
195e3ea1-f3e6-46b1-8575-f88a13ba6904,2010-02-24,2010,Mohkampur,30.419533,78.025367,Fraud,Violent,Female,26,7,46.33,1,Stormy,Wednesday,0,Solved,2010-02-24
cb851cd8-1a36-452e-8926-1b1e305a440d,2010-02-25,2010,Mohanpur,30.392918,78.111292,Robbery,Non-Violent,Other,63,0,52.89,0,Foggy,Thursday,0,Unsolved,2010-02-25
465a25bb-2202-4e0f-92aa-9c364c598359,2010-02-25,2010,Mohanpur,30.301327,77.985446,Pickpocketing,Violent,Other,34,3,48.03,0,Stormy,Thursday,0,Solved,2010-02-25
3b5f5772-ff7e-4918-a886-3ec4935be637,2010-02-25,2010,Gulab Bagh,30.396884,78.052166,Kidnapping,Violent,Unknown,15,7,3.98,1,Cloudy,Thursday,0,Under Investigation,2010-02-25
7836adbc-fdc5-4073-bc69-b4da59b048c1,2010-02-25,2010,Gulab Bagh,30.347748,78.16669,Chain Snatching,Violent,Male,65,3,52.09,1,Cloudy,Thursday,0,Unsolved,2010-02-25
64965ee2-fe2a-4274-99b9-9e07e5d26404,2010-02-26,2010,Mohanpur,30.39612,77.903728,Assault,White-Collar,Male,42,0,7.78,0,Stormy,Friday,0,Unsolved,2010-02-26
2c3ee9f3-3dec-4dea-ab3b-b9987bff9983,2010-02-27,2010,Mohanpur,30.262502,78.137181,Burglary,Violent,Other,37,9,44.84,0,Clear,Saturday,0,Unsolved,2010-02-27
4213e01c-69d8-4796-8d49-daa4fd4b16c1,2010-02-28,2010,Subhash Road,30.41267,78.044734,Illegal Possession,White-Collar,Unknown,49,6,14.16,0,Stormy,Sunday,0,Solved,2010-02-28
f65fb806-5103-47bf-a22a-7a584b784482,2010-02-28,2010,Rajpur Road,30.332005,78.023221,Forgery,Non-Violent,Male,39,1,3.1,1,Clear,Sunday,0,Under Investigation,2010-02-28
43c03d1a-360b-496e-afe5-bd3779f6612c,2010-02-28,2010,Rajpur Road,30.314626,77.924423,Human Trafficking,Non-Violent,Other,31,7,10.45,0,Foggy,Sunday,0,Under Investigation,2010-02-28
1bb202b0-92a5-4156-bd26-1385e541af25,2010-03-01,2010,Majra,30.267747,77.916584,Assault,White-Collar,Other,25,5,53.99,1,Cloudy,Monday,0,Under Investigation,2010-03-01
dbb84ed1-fe32-4a50-9ffa-77b589657e0b,2010-03-01,2010,Majra,30.416516,77.989096,Assault,Violent,Female,40,0,56.74,0,Foggy,Monday,0,Unsolved,2010-03-01
a6a2afa9-2633-4e91-882a-972bb490d7a7,2010-03-01,2010,Mohanpur,30.388354,78.125267,Harassment,Property,Female,49,8,28.16,0,Stormy,Monday,0,Unsolved,2010-03-01
0de5d69a-a695-4092-bef2-a9b0f839f10a,2010-03-01,2010,Industrial Area,30.282247,78.155529,Drug Possession,Violent,Female,43,6,15.0,0,Cloudy,Monday,0,Solved,2010-03-01
9e049071-e81b-4d4e-a319-237e6a9e9644,2010-03-02,2010,Gulab Bagh,30.300935,78.127561,Fraud,Property,Male,62,8,28.55,1,Stormy,Tuesday,1,Unsolved,2010-03-02
fa3f3979-b388-40cc-9ae0-e8cfe2c68a96,2010-03-02,2010,Kudkan,30.442103,78.160889,Kidnapping,Property,Female,11,3,7.67,1,Rainy,Tuesday,0,Unsolved,2010-03-02
cfbabb27-30ca-4305-8d9d-ec9a2f05a5be,2010-03-03,2010,Gulab Bagh,30.350092,78.022972,Fraud,Violent,Female,12,3,2.09,1,Stormy,Wednesday,0,Solved,2010-03-03
024cc453-24f7-4098-b83b-5a1221796ea4,2010-03-03,2010,Gulab Bagh,30.271424,77.990955,Smuggling,Property,Female,22,0,35.38,0,Cloudy,Wednesday,1,Solved,2010-03-03
95cf0424-74ee-458f-a13a-e8dac718bfc9,2010-03-03,2010,Subhash Road,30.394056,78.024129,Pickpocketing,Violent,Female,75,8,58.99,0,Stormy,Wednesday,0,Unsolved,2010-03-03
4c319849-cae8-4c7f-9f68-da5e358e2f42,2010-03-05,2010,Malsi,30.256136,77.983509,Drug Possession,Violent,Male,64,7,27.93,1,Stormy,Friday,0,Under Investigation,2010-03-05
9224c201-7cde-4c3c-a6b9-ca7d5967dc81,2010-03-06,2010,Mohanpur,30.294533,78.059383,Harassment,Non-Violent,Male,59,6,30.7,0,Foggy,Saturday,0,Unsolved,2010-03-06
0445578d-1575-44c8-b5a4-d7b8044e0aa8,2010-03-06,2010,Gulab Bagh,30.355937,78.109088,Stalking,Violent,Other,52,8,17.32,1,Cloudy,Saturday,0,Under Investigation,2010-03-06
1c383952-d511-41c6-b7f7-cf26edc1e036,2010-03-06,2010,Gulab Bagh,30.438382,78.020218,Kidnapping,Property,Male,14,10,40.17,1,Foggy,Saturday,0,Unsolved,2010-03-06
6190e07e-a4cb-4a28-ad4b-642a5ea35d60,2010-03-06,2010,Malsi,30.372169,77.989243,Murder,White-Collar,Other,49,3,2.05,1,Cloudy,Saturday,0,Solved,2010-03-06
42df2dd1-5d9c-462f-bb3b-5ec745fa5c11,2010-03-06,2010,Industrial Area,30.388315,78.080858,Burglary,Violent,Female,46,9,55.99,0,Foggy,Saturday,1,Unsolved,2010-03-06
5d7bf269-7bca-4d3d-817d-43b5d7afd69a,2010-03-06,2010,CID Colony,30.335738,77.998379,Attempt to Murder,Non-Violent,Male,37,10,57.41,0,Rainy,Saturday,1,Unsolved,2010-03-06
5744838b-352d-462b-988f-cc1a0bb0641c,2010-03-07,2010,Majra,30.439199,78.085596,Fraud,Non-Violent,Male,63,4,6.87,1,Clear,Sunday,0,Solved,2010-03-07
aa39387e-3252-4134-ba0e-d2543a5faedc,2010-03-07,2010,Mussoorie Road,30.35931,78.121555,Drug Trafficking,White-Collar,Male,62,0,14.89,1,Foggy,Sunday,0,Unsolved,2010-03-07
0bd55f2a-d210-4a33-9255-dd6470d670fd,2010-03-08,2010,Majra,30.291996,77.980555,Drug Trafficking,Property,Female,37,8,33.44,1,Clear,Monday,0,Unsolved,2010-03-08
ee57f716-467f-4fc2-af0c-faa8cd4aa061,2010-03-08,2010,Mohanpur,30.367254,78.174821,Attempt to Murder,Non-Violent,Male,39,4,15.61,0,Foggy,Monday,0,Unsolved,2010-03-08
b3da246b-d376-40a3-8f29-69344b95fa14,2010-03-10,2010,Majra,30.357105,78.161346,Domestic Violence,Property,Unknown,27,8,59.92,0,Rainy,Wednesday,0,Under Investigation,2010-03-10
2c47b538-3152-40c9-83e3-a46dc0ede8dc,2010-03-12,2010,Subhash Road,30.263284,78.008724,Assault,Non-Violent,Female,14,4,21.86,1,Stormy,Friday,0,Unsolved,2010-03-12
